hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes,guardDefaultIfUnknown
273,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
273,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
274,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
274,test_fedall.log,"LiteralOp ,",163,CP,LOUT,none,NO_RULE,[],[275],[],[],null,[],[],<missing>
274,test_heuristic.log,"LiteralOp ,",163,CP,LOUT,none,NO_RULE,[],[275],[],[],null,[],[],<missing>
276,test_cost.log,PWrite B,164,CP,LOUT,none,NO_RULE,"[269, 270, 271, 272, 273, 275]",[],[],[],PUBLIC,"[null, null, null, null, null, null, null]",[],<missing>
276,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
276,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
277,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
277,test_fedall.log,LiteralOp 500.0,67,CP,LOUT,none,NO_RULE,[],"[41, 50]",[],[],null,[],[],<missing>
277,test_heuristic.log,LiteralOp 500.0,67,CP,LOUT,none,NO_RULE,[],"[41, 50]",[],[],null,[],[],<missing>
278,test_cost.log,LiteralOp 500.0,67,CP,LOUT,none,NO_RULE,[],"[41, 50]",[],[],PUBLIC,[],[],<missing>
