hop_id,type,operation,reason_code,description
310,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
319,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
325,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
325,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
325,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
327,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
327,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
327,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
329,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
340,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
341,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
343,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
345,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
347,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
348,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
351,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
351,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
351,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
352,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
353,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
355,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
358,ALLOWED_BUT_NULL,AggBinaryOp.AGGBINARY,AGGR_BINARY_MIXED_NULL,Operation allowed but FType is NULL
359,ALLOWED_BUT_NULL,BinaryOp.*,BINARY_MIXED_NULL,Operation allowed but FType is NULL
364,ALLOWED_BUT_NULL,BinaryOp.+,BINARY_MIXED_NULL,Operation allowed but FType is NULL
366,ALLOWED_BUT_NULL,AggUnaryOp.min,AGGR_UNARY_ALLOWED,Operation allowed but FType is NULL
368,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
369,ALLOWED_BUT_NULL,AggUnaryOp.+,AGGR_UNARY_ALLOWED,Operation allowed but FType is NULL
369,ALLOWED_BUT_NULL,AggUnaryOp.+,SCALAR_HOP,Operation allowed but FType is NULL
369,ALLOWED_BUT_NULL,AggUnaryOp.+,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
371,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
411,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
413,ALLOWED_BUT_NULL,BinaryOp.<=,BINARY_SAME_FTYPE,Operation allowed but FType is NULL
414,ALLOWED_BUT_NULL,AggUnaryOp.+,AGGR_UNARY_ALLOWED,Operation allowed but FType is NULL
415,ALLOWED_BUT_NULL,BinaryOp./,BINARY_SAME_FTYPE,Operation allowed but FType is NULL
416,ALLOWED_BUT_NULL,AggUnaryOp.+,AGGR_UNARY_ALLOWED,Operation allowed but FType is NULL
416,ALLOWED_BUT_NULL,AggUnaryOp.+,AGGR_DIRECTION_MISMATCH,Operation allowed but FType is NULL
416,ALLOWED_BUT_NULL,AggUnaryOp.+,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
417,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
418,ALLOWED_BUT_NULL,ReorgOp.r',UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
